"storm_id","date","tclat","tclon","vmax"
"ABBY_1979",1979-12-11 12:00:00,14.8,130,36.01108
"ABBY_1986",1986-09-16 06:00:00,18.9,129.5,33.43886
"ABBY_1986",1986-09-16 12:00:00,19.2,128.6,33.43886
"ABBY_1986",1986-09-16 18:00:00,19.4,127.8,33.43886
"ABBY_1986",1986-09-17 00:00:00,19.5,127.2,36.01108
"ABE_1993",1993-09-10 00:00:00,19.6,124.1,18.00554
"ABE_1993",1993-09-10 06:00:00,19.8,124,18.00554
"ABE_1993",1993-09-10 12:00:00,19.9,123.8,23.14998
"AERE_2011",2011-05-07 12:00:00,13.2582208977136,125.387429282539,17.2743283922343
"AERE_2011",2011-05-07 13:00:00,13.3166638672015,125.282959442398,17.4109880417025
"AERE_2011",2011-05-07 14:00:00,13.3752416933813,125.178613046604,17.547293990228
"AERE_2011",2011-05-07 15:00:00,13.4340892329449,125.074513539505,17.6828925368685
"AERE_2011",2011-05-07 16:00:00,13.4933413425843,124.970784365449,17.8174299806812
"AERE_2011",2011-05-07 17:00:00,13.5531328789914,124.867548968783,17.9505526207237
"AERE_2011",2011-05-07 18:00:00,13.613598698858,124.764930793855,18.0819067560534
"AERE_2011",2011-05-07 19:00:00,13.6748736588761,124.663053285014,18.2111386857277
"AERE_2011",2011-05-07 20:00:00,13.7370926157377,124.562039886605,18.337894708804
"AERE_2011",2011-05-07 21:00:00,13.8003904261345,124.462014042977,18.4618211243399
"AERE_2011",2011-05-07 22:00:00,13.8649019467586,124.363099198478,18.5825642313926
"AERE_2011",2011-05-07 23:00:00,13.9307620343018,124.265418797455,18.6997703290197
"AERE_2011",2011-05-08 00:00:00,13.9981055454562,124.169096284256,18.8130857162786
"AERE_2011",2011-05-08 01:00:00,14.0670673369135,124.074255103228,18.9221566922268
"AERE_2011",2011-05-08 02:00:00,14.1377822653657,123.981018698719,19.0266295559216
"AERE_2011",2011-05-08 03:00:00,14.2103851875047,123.889510515076,19.1261506064205
"AERE_2011",2011-05-08 04:00:00,14.2850109600224,123.799853996648,19.2203661427809
"AERE_2011",2011-05-08 05:00:00,14.3617944396108,123.712172587782,19.3089224640603
"AERE_2011",2011-05-08 06:00:00,14.4408704829618,123.626589732825,19.3914658693161
"AERE_2011",2011-05-08 07:00:00,14.5223739467672,123.543228876124,19.4676426576058
"AERE_2011",2011-05-08 08:00:00,14.6064396877191,123.462213462029,19.5370991279868
"AERE_2011",2011-05-08 09:00:00,14.6932025625092,123.383666934886,19.5994815795164
"AERE_2011",2011-05-08 10:00:00,14.7827974278296,123.307712739043,19.6544363112522
"AERE_2011",2011-05-08 11:00:00,14.8753591403721,123.234474318847,19.7016096222517
"AERE_2011",2011-05-08 12:00:00,14.9710225568286,123.164075118646,19.7406478115721
"AERE_2011",2011-05-08 13:00:00,15.0699225338912,123.096638582788,19.771197178271
"AERE_2011",2011-05-08 14:00:00,15.1721939282516,123.03228815562,19.7929040214058
"AERE_2011",2011-05-08 15:00:00,15.2779715966018,122.971147281491,19.8054146400339
"AERE_2011",2011-05-08 16:00:00,15.3873454434031,122.913298256631,19.808493233527
"AERE_2011",2011-05-08 17:00:00,15.5002255641942,122.858658784808,19.8023756025134
"AERE_2011",2011-05-08 18:00:00,15.6164771022832,122.807105421676,19.7874154479357
"AERE_2011",2011-05-08 19:00:00,15.7359652009781,122.758514722887,19.7639664707365
"AERE_2011",2011-05-08 20:00:00,15.8585550035871,122.712763244093,19.7323823718583
"AERE_2011",2011-05-08 21:00:00,15.9841116534183,122.669727540947,19.6930168522437
"AERE_2011",2011-05-08 22:00:00,16.1125002937797,122.6292841691,19.6462236128352
"AERE_2011",2011-05-08 23:00:00,16.2435860679793,122.591309684205,19.5923563545755
"AERE_2011",2011-05-09 00:00:00,16.3772341193254,122.555680641915,19.531768778407
"AERE_2011",2011-05-09 01:00:00,16.513309591126,122.522273597883,19.4648145852724
"AERE_2011",2011-05-09 02:00:00,16.6516776266891,122.490965107759,19.3918474761142
"AERE_2011",2011-05-09 03:00:00,16.7922033693229,122.461631727197,19.313221151875
"AERE_2011",2011-05-09 04:00:00,16.9347519623354,122.43415001185,19.2292893134973
"AERE_2011",2011-05-09 05:00:00,17.0791885490347,122.408396517369,19.1404056619237
"AERE_2011",2011-05-09 06:00:00,17.2253782727289,122.384247799407,19.0469238980968
"AERE_2011",2011-05-09 07:00:00,17.3731862767261,122.361580413617,18.9491977229591
"AERE_2011",2011-05-09 08:00:00,17.5224777043344,122.34027091565,18.8475808374532
"AERE_2011",2011-05-09 09:00:00,17.6731176988618,122.320195861159,18.7424269425217
"AERE_2011",2011-05-09 10:00:00,17.8249714036164,122.301231805797,18.6340897391071
"AERE_2011",2011-05-09 11:00:00,17.9779039619064,122.283255305216,18.5229229281519
"AERE_2011",2011-05-09 12:00:00,18.1317805170398,122.266142915068,18.4092802105989
"AERE_2011",2011-05-09 13:00:00,18.2864662123247,122.249771191005,18.2935152873904
"AERE_2011",2011-05-09 14:00:00,18.4418261910692,122.234016688681,18.1759818594691
"AERE_2011",2011-05-09 15:00:00,18.5977255965813,122.218755963747,18.0570336277776
"AERE_2011",2011-05-09 16:00:00,18.7540295721692,122.203865571856,17.9370242932583
"AERE_2011",2011-05-09 17:00:00,18.9106032611409,122.18922206866,17.816307556854
"AERE_2011",2011-05-09 18:00:00,19.0673118068045,122.174702009812,17.6952371195071
"AGNES_1984",1984-11-04 06:00:00,10.6128348349732,128.866259418854,56.7933792137091
"AGNES_1984",1984-11-04 07:00:00,10.6462883640404,128.600725472042,55.7011776389121
